Title,Rated
Saving Private Ryan,R
Hart's War,R
Rollerball,R
Ballistic: Ecks vs. Sever,R
Blackhat,R
Basic Instinct 2,R
Agora,R
Ted 2,R
The Score,R
Hall Pass,R
Money Train,R
Dreamcatcher,R
The Insider,R
Body of Lies,R
Abraham Lincoln: Vampire Hunter,R
American History X,R
Due Date,R
Step Brothers,R
Cliffhanger,R
Broken Arrow,R
The Dictator,R
Eyes Wide Shut,R
Focus,R
Blade: Trinity,R
Resident Evil: Retribution,R
Primary Colors,R
Death Race,R
The Long Kiss Goodnight,R
Proof of Life,R
The Green Mile,R
Hudson Hawk,R
Sin City: A Dame to Kill For,R
Lucky Numbers,R
Dragon Blade,R
Random Hearts,R
Perfume: The Story of a Murderer,R
The Hateful Eight,R
3000 Miles to Graceland,R
2 Guns,R
300,R
The Pianist,R
The General's Daughter,R
Collateral,R
Man on Fire,R
Any Given Sunday,R
The Departed,R
Deep Blue Sea,R
The Happening,R
London Has Fallen,R
Whiplash,R
The Jackal,R
Terminator 2: Judgment Day,R
Under Siege 2: Dark Territory,R
Alien: Resurrection,R
Shooter,R
Gangster Squad,R
Righteous Kill,R
Edge of Darkness,R
The Relic,R
Almost Famous,R
Gladiator,R
Analyze That,R
Mercury Rising,R
Event Horizon,R
The Black Dahlia,R
The Last Castle,R
The Great Raid,R
Mortdecai,R
Beyond Borders,R
American Sniper,R
Rambo III,R
Apocalypse Now,R
Resident Evil: Afterlife,R
The Devil's Advocate,R
That's My Boy,R
Memento,R
Captain Corelli's Mandolin,R
American Wedding,R
The Equalizer,R
Crimson Tide,R
Disclosure,R
Kill Bill: Vol. 2,R
Tango & Cash,R
Alien,R
Executive Decision,R
Alien 3,R
Ronin,R
The Ghost and the Darkness,R
Changeling,R
The Watch,R
The Hunted,R
Instinct,R
Semi-Pro,R
The Fan,R
Turbulence,R
Bullet to the Head,R
A Very Long Engagement,R
Django Unchained,R
Eye See You,R
Blade II,R
The Godfather: Part III,R
Shaft,R
The Shining,R
Law Abiding Citizen,R
Black Mass,R
Flags of our Fathers,R
Grindhouse,R
Beloved,R
Zero Dark Thirty,R
